Title (w/ year),Country,Language,Release_Date
Trip with the Teacher (1975) ,"
Country:
USA
","
Language:
English
","
Release Date: March 1975 (USA)
    
See more »
    
"
Fantozzi (1975) ,"
Country:
Italy
","
Language:
Italian
|
Japanese
|
French
|
German
","
Release Date: 21 May 1976 (West Germany)
    
See more »
    
"
"'Sheba, Baby' (1975) ","
Country:
USA
","
Language:
English
","
Release Date: 17 January 1977 (Sweden)
    
See more »
    
"
Dirty Hands (1975) ,"
Country:
France
|
Italy
|
West Germany
","
Language:
French
","
Release Date: 26 March 1975 (France)
    
See more »
    
"
Let Joy Reign Supreme (1975) ,"
Country:
France
","
Language:
French
|
Breton
","
Release Date: 26 March 1975 (France)
    
See more »
    
"
Bug (1975) ,"
Country:
USA
","
Language:
English
","
Release Date: 6 June 1975 (USA)
    
See more »
    
"
A Boy and His Dog (1975) ,"
Country:
USA
","
Language:
English
","
Release Date: 14 November 1975 (USA)
    
See more »
    
"
Escape to Witch Mountain (1975) ,"
Country:
USA
","
Language:
English
","
Release Date: 21 March 1975 (USA)
    
See more »
    
"
Brannigan (1975) ,"
Country:
UK
|
USA
","
Language:
English
","
Release Date: 26 March 1975 (USA)
    
See more »
    
"
Smile (1975) ,"
Country:
USA
","
Language:
English
","
Release Date: 28 March 1977 (Poland)
    
See more »
    
"
Tommy (1975) ,"
Country:
UK
","
Language:
English
","
Release Date: 26 March 1975 (UK)
    
See more »
    
"
Hester Street (1975) ,"
Country:
USA
","
Language:
English
|
Yiddish
","
Release Date: 6 August 1976 (Denmark)
    
See more »
    
"
Night Moves (1975) ,"
Country:
USA
","
Language:
English
|
Spanish
|
French
","
Release Date: 30 August 1975 (Italy)
    
See more »
    
"
Terror of Mechagodzilla (1975) ,"
Country:
Japan
","
Language:
Japanese
","
Release Date: March 1977 (USA)
    
See more »
    
"
Funny Lady (1975) ,"
Country:
USA
","
Language:
English
","
Release Date: 15 March 1975 (USA)
    
See more »
    
"
Rancho Deluxe (1975) ,"
Country:
USA
","
Language:
English
","
Release Date: 14 March 1975 (USA)
    
See more »
    
"
The Prisoner of Second Avenue (1975) ,"
Country:
USA
","
Language:
English
","
Release Date: 5 May 1975 (Sweden)
    
See more »
    
"
Monty Python and the Holy Grail (1975) ,"
Country:
UK
","
Language:
English
|
French
|
Latin
","
Release Date: 25 May 1975 (UK)
    
See more »
    
"
"How to Drown Dr. Mracek, the Lawyer (1975) ","
Country:
Czechoslovakia
","
Language:
Czech
","
Release Date: October 1983 (USA)
    
See more »
    
"
Wrong Move (1975) ,"
Country:
West Germany
","
Language:
German
","
Release Date: 22 October 1975 (France)
    
See more »
    
"
Deep Red (1975) ,"
Country:
Italy
","
Language:
Italian
|
German
|
English
","
Release Date: 11 June 1976 (USA)
    
See more »
    
"
Breakout (1975) ,"
Country:
USA
","
Language:
English
","
Release Date: 7 March 1975 (West Germany)
    
See more »
    
"
The Mirror (1975) ,"
Country:
Soviet Union
","
Language:
Russian
|
Spanish
","
Release Date: 18 January 1978 (France)
    
See more »
    
"
Katie Tippel (1975) ,"
Country:
Netherlands
","
Language:
Dutch
","
Release Date: 6 March 1975 (Netherlands)
    
See more »
    
"
Zorro (1975) ,"
Country:
Italy
|
France
","
Language:
English
|
Spanish
","
Release Date: June 1976 (USA)
    
See more »
    
"
At Long Last Love (1975) ,"
Country:
USA
","
Language:
English
","
Release Date: 1 March 1975 (USA)
    
See more »
    
"
Professione: reporter (1975) ,"
Country:
Italy
|
France
|
Spain
","
Language:
English
|
Spanish
|
German
|
French
","
Release Date: 9 April 1975 (USA)
    
See more »
    
"
The Promised Land (1975) ,"
Country:
Poland
","
Language:
Polish
|
German
|
Yiddish
|
Russian
","
Release Date: 21 February 1975 (Poland)
    
See more »
    
"
Inserts (1975) ,"
Country:
UK
","
Language:
English
","
Release Date: 13 February 1976 (USA)
    
See more »
    
"
Xue di zi (1975) ,"
Country:
Hong Kong
","
Language:
Mandarin
","
Release Date: October 1981 (USA)
    
See more »
    
"
Graveyard of Honor (1975) ,"
Country:
Japan
","
Language:
Japanese
","
Release Date: 15 February 1975 (Japan)
    
See more »
    
"
Aandhi (1975) ,"
Country:
India
","
Language:
Hindi
","
Release Date: 13 February 1975 (India)
    
See more »
    
"
The Wilby Conspiracy (1975) ,"
Country:
UK
","
Language:
English
","
Release Date: August 1975 (UK)
    
See more »
    
"
The Stepford Wives (1975) ,"
Country:
USA
","
Language:
English
","
Release Date: 12 February 1975 (USA)
    
See more »
    
"
L'important c'est d'aimer (1975) ,"
Country:
France
|
Italy
|
West Germany
","
Language:
French
","
Release Date: April 1977 (USA)
    
See more »
    
"
Shampoo (1975) ,"
Country:
USA
","
Language:
English
","
Release Date: 13 March 1975 (USA)
    
See more »
    
"
The Strongest Man in the World (1975) ,"
Country:
USA
","
Language:
English
","
Release Date: 6 February 1975 (USA)
    
See more »
    
"
Flatfoot in Hong Kong (1975) ,"
Country:
Italy
|
Hong Kong
","
Language:
Italian
|
Cantonese
|
Thai
|
English
|
Japanese
|
Mandarin
","
Release Date: 3 February 1975 (Turkey)
    
See more »
    
"
Footprints on the Moon (1975) ,"
Country:
Italy
|
Turkey
","
Language:
Italian
","
Release Date: 1 February 1975 (Italy)
    
See more »
    
"
The Beast (1975) ,"
Country:
France
","
Language:
French
|
Italian
|
English
","
Release Date: 15 April 1977 (USA)
    
See more »
    
"
Snuff (1975) ,"
Country:
USA
|
Canada
|
Argentina
","
Language:
English
","
Release Date: 19 June 1976 (Japan)
    
See more »
    
"
The Man in the Glass Booth (1975) ,"
Country:
USA
","
Language:
English
|
German
","
Release Date: 27 January 1975 (USA)
    
See more »
    
"
Deewaar (1975) ,"
Country:
India
","
Language:
Hindi
","
Release Date: May 1979 (USA)
    
See more »
    
"
Eyeball (1975) ,"
Country:
Italy
|
Spain
","
Language:
Italian
|
Spanish
","
Release Date: 9 June 1978 (USA)
    
See more »
    
"
Autopsy (1975) ,"
Country:
Italy
","
Language:
Italian
","
Release Date: 10 June 1977 (USA)
    
See more »
    
"
Mavi Boncuk (1975) ,"
Country:
Turkey
","
Language:
Turkish
","
Release Date: 1 January 1975 (Turkey)
    
See more »
    
"
The Great Waldo Pepper (1975) ,"
Country:
USA
","
Language:
English
","
Release Date: 13 March 1975 (USA)
    
See more »
    
"
L'assassino è costretto ad uccidere ancora (1975) ,"
Country:
Italy
|
France
|
Spain
","
Language:
Italian
","
Release Date: 1 January 1975 (Italy)
    
See more »
    
"
Salako (1974) ,"
Country:
Turkey
","
Language:
Turkish
", ~data not found~ 
Axe (1974) ,"
Country:
USA
","
Language:
English
","
Release Date: December 1974 (USA)
    
See more »
    
"
Gavaznha (1974) ,"
Country:
Iran
","
Language:
Persian
","
Release Date: 1974 (Iran)
    
See more »
    
"
Vase de noces (1974) ,"
Country:
Belgium
","
Language:
None
","
Release Date: 1974 (Belgium)
    
See more »
    
"
Vampyres (1974) ,"
Country:
UK
|
Spain
","
Language:
English
","
Release Date: January 1975 (USA)
    
See more »
    
"
The Traveler (1974) ,"
Country:
Iran
","
Language:
Persian
","
Release Date: 1974 (Iran)
    
See more »
    
"
Je tu il elle (1974) ,"
Country:
France
|
Belgium
","
Language:
French
","
Release Date: 27 December 1985 (USA)
    
See more »
    
"
Rabid Dogs (1974) ,"
Country:
Italy
","
Language:
Italian
","
Release Date: 25 February 1998 (USA)
    
See more »
    
"
Pastoral Hide and Seek (1974) ,"
Country:
Japan
","
Language:
Japanese
","
Release Date: 28 December 1974 (Japan)
    
See more »
    
"
Sonar Kella (1974) ,"
Country:
India
","
Language:
Bengali
","
Release Date: 27 December 1974 (India)
    
See more »
    
"
Jacob the Liar (1974) ,"
Country:
East Germany
|
Czechoslovakia
","
Language:
German
","
Release Date: 17 April 1975 (East Germany)
    
See more »
    
"
We All Loved Each Other So Much (1974) ,"
Country:
Italy
","
Language:
Italian
","
Release Date: 23 May 1977 (USA)
    
See more »
    
"
The Yakuza (1974) ,"
Country:
Japan
|
USA
","
Language:
English
|
Japanese
","
Release Date: 19 March 1975 (USA)
    
See more »
    
"
Turn the Other Cheek (1974) ,"
Country:
Italy
|
France
","
Language:
Italian
","
Release Date: 21 December 1974 (Italy)
    
See more »
    
"
Scent of a Woman (1974) ,"
Country:
Italy
","
Language:
Italian
","
Release Date: 20 December 1974 (Italy)
    
See more »
    
"
Travolti da un insolito destino nell'azzurro mare d'agosto (1974) ,"
Country:
Italy
","
Language:
Italian
|
French
","
Release Date: 17 September 1975 (USA)
    
See more »
    
"
Boss Nigger (1974) ,"
Country:
USA
","
Language:
English
","
Release Date: 18 August 1975 (Sweden)
    
See more »
    
"
Steppenwolf (1974) ,"
Country:
Switzerland
|
UK
|
France
|
Italy
|
USA
","
Language:
English
","
Release Date: 11 November 1988 (Denmark)
    
See more »
    
"
The Return of the Tall Blond Man (1974) ,"
Country:
France
","
Language:
French
","
Release Date: 18 December 1974 (France)
    
See more »
    
"
The Front Page (1974) ,"
Country:
USA
","
Language:
English
","
Release Date: 20 December 1974 (Canada)
    
See more »
    
"
The Towering Inferno (1974) ,"
Country:
USA
","
Language:
English
","
Release Date: 1 January 1975 (Singapore)
    
See more »
    
"
The Island at the Top of the World (1974) ,"
Country:
USA
","
Language:
English
|
Swedish
|
Norwegian
|
Danish
|
Icelandic
|
French
","
Release Date: 20 December 1974 (USA)
    
See more »
    
"
Young Frankenstein (1974) ,"
Country:
USA
","
Language:
English
|
German
","
Release Date: 15 December 1974 (USA)
    
See more »
    
"
The Man with the Golden Gun (1974) ,"
Country:
UK
","
Language:
English
|
Thai
|
Cantonese
","
Release Date: 20 December 1974 (USA)
    
See more »
    
"
The Godfather: Part II (1974) ,"
Country:
USA
","
Language:
English
|
Italian
|
Spanish
|
Latin
|
Sicilian
","
Release Date: 18 December 1974 (USA)
    
See more »
    
"
Conversation Piece (1974) ,"
Country:
Italy
|
France
","
Language:
Italian
|
English
","
Release Date: 23 June 1977 (USA)
    
See more »
    
"
Alice Doesn't Live Here Anymore (1974) ,"
Country:
USA
","
Language:
English
","
Release Date: 23 May 1975 (Italy)
    
See more »
    
"
The Terrorists (1974) ,"
Country:
UK
|
USA
","
Language:
English
","
Release Date: 27 February 1975 (UK)
    
See more »
    
"
Les démoniaques (1974) ,"
Country:
France
|
Belgium
","
Language:
French
","
Release Date: June 1977 (USA)
    
See more »
    
"
Världens bästa Karlsson (1974) ,"
Country:
Sweden
","
Language:
Swedish
|
Icelandic
","
Release Date: 2 December 1974 (Sweden)
    
See more »
    
"
Freebie and the Bean (1974) ,"
Country:
USA
","
Language:
English
|
Spanish
","
Release Date: 25 December 1974 (USA)
    
See more »
    
"
The Land That Time Forgot (1974) ,"
Country:
UK
|
USA
","
Language:
English
|
German
","
Release Date: 13 August 1975 (USA)
    
See more »
    
"
Gyakushû! Satsujin ken (1974) ,"
Country:
Japan
","
Language:
Japanese
","
Release Date: 16 February 1979 (USA)
    
See more »
    
"
The Antichrist (1974) ,"
Country:
Italy
","
Language:
Italian
","
Release Date: 3 March 1978 (USA)
    
See more »
    
"
Murder on the Orient Express (1974) ,"
Country:
UK
|
USA
","
Language:
English
|
French
|
German
|
Turkish
|
Italian
|
Swedish
","
Release Date: 24 November 1974 (USA)
    
See more »
    
"
Beyond the Door (1974) ,"
Country:
Italy
","
Language:
English
|
Italian
","
Release Date: 31 July 1975 (USA)
    
See more »
    
"
Earthquake (1974) ,"
Country:
USA
","
Language:
English
","
Release Date: 15 November 1974 (USA)
    
See more »
    
"
The Trial of Billy Jack (1974) ,"
Country:
USA
","
Language:
English
","
Release Date: 13 November 1974 (USA)
    
See more »
    
"
"At Home Among Strangers, a Stranger Among His Own (1974) ","
Country:
Soviet Union
","
Language:
Russian
","
Release Date: 11 November 1974 (Soviet Union)
    
See more »
    
"
Lenny (1974) ,"
Country:
USA
","
Language:
English
","
Release Date: 7 February 1975 (Canada)
    
See more »
    
"
The Little Prince (1974) ,"
Country:
UK
|
USA
","
Language:
English
","
Release Date: 7 November 1974 (USA)
    
See more »
    
"
Frightmare (1974) ,"
Country:
UK
","
Language:
English
","
Release Date: July 1975 (USA)
    
See more »
    
"
Phantom of the Paradise (1974) ,"
Country:
USA
","
Language:
English
","
Release Date: 1 November 1974 (USA)
    
See more »
    
"
The Enigma of Kaspar Hauser (1974) ,"
Country:
West Germany
","
Language:
German
","
Release Date: 1 November 1974 (West Germany)
    
See more »
    
"
Köyden Indim Sehire (1974) ,"
Country:
Turkey
","
Language:
Turkish
","
Release Date: October 1974 (Turkey)
    
See more »
    
"
The Four Musketeers: Milady's Revenge (1974) ,"
Country:
Spain
|
Panama
|
UK
|
USA
","
Language:
English
","
Release Date: 26 February 1975 (USA)
    
See more »
    
"
The Klansman (1974) ,"
Country:
USA
","
Language:
English
","
Release Date: 25 October 1974 (West Germany)
    
See more »
    
"
Borsalino and Co. (1974) ,"
Country:
France
|
Italy
|
West Germany
","
Language:
French
","
Release Date: 23 October 1974 (France)
    
See more »
    
"
"Vincent, François, Paul and the Others (1974) ","
Country:
France
|
Italy
","
Language:
French
","
Release Date: 20 October 1974 (France)
    
See more »
    
"
The Castle of Sand (1974) ,"
Country:
Japan
","
Language:
Japanese
","
Release Date: 10 October 1975 (USA)
    
See more »
    
"
Airport 1975 (1974) ,"
Country:
USA
","
Language:
English
","
Release Date: 18 October 1974 (USA)
    
See more »
    
"
The Odessa File (1974) ,"
Country:
UK
|
West Germany
","
Language:
English
|
German
","
Release Date: 18 October 1974 (USA)
    
See more »
    
"
A Woman Under the Influence (1974) ,"
Country:
USA
","
Language:
English
|
Italian
","
Release Date: 18 November 1974 (USA)
    
See more »
    
"
Black Christmas (1974) ,"
Country:
Canada
","
Language:
English
","
Release Date: 20 December 1974 (USA)
    
See more »
    
"
I'm Losing My Temper (1974) ,"
Country:
France
","
Language:
French
","
Release Date: March 1975 (USA)
    
See more »
    
"
Female Trouble (1974) ,"
Country:
USA
","
Language:
English
","
Release Date: 28 March 1984 (France)
    
See more »
    
"
Olsen-bandens sidste bedrifter (1974) ,"
Country:
Denmark
","
Language:
Danish
|
Spanish
|
Swedish
|
German
","
Release Date: 4 October 1974 (Denmark)
    
See more »
    
"
The Gambler (1974) ,"
Country:
USA
","
Language:
English
","
Release Date: 17 February 1975 (Denmark)
    
See more »
    
"
The Texas Chain Saw Massacre (1974) ,"
Country:
USA
","
Language:
English
","
Release Date: 11 October 1974 (USA)
    
See more »
    
"
Arkadas (1974) ,"
Country:
Turkey
","
Language:
Turkish
","
Release Date: 1 October 1974 (Turkey)
    
See more »
    
"
The Taking of Pelham One Two Three (1974) ,"
Country:
USA
","
Language:
English
|
Spanish
","
Release Date: 14 November 1974 (West Germany)
    
See more »
    
"
Let Sleeping Corpses Lie (1974) ,"
Country:
Spain
|
Italy
","
Language:
English
|
Italian
|
Spanish
","
Release Date: 1 June 1975 (USA)
    
See more »
    
"
Phase IV (1974) ,"
Country:
UK
|
USA
","
Language:
English
","
Release Date: September 1974 (USA)
    
See more »
    
"
Dunderklumpen! (1974) ,"
Country:
Sweden
","
Language:
Swedish
","
Release Date: 1 January 1977 (USA)
    
See more »
    
"
Juggernaut (1974) ,"
Country:
UK
|
USA
","
Language:
English
","
Release Date: 25 September 1974 (USA)
    
See more »
    
"
Ein Unbekannter rechnet ab (1974) ,"
Country:
Italy
|
West Germany
|
France
|
Spain
|
UK
|
Iran
","
Language:
English
|
Italian
|
Spanish
|
German
|
French
","
Release Date: 1974 (Italy)
    
See more »
    
"
Big Bad Mama (1974) ,"
Country:
USA
","
Language:
English
","
Release Date: 12 January 1975 (UK)
    
See more »
    
"
Street Law (1974) ,"
Country:
Italy
","
Language:
English
|
Italian
","
Release Date: 13 February 1976 (USA)
    
See more »
    
"
Scenes from a Marriage (1974) ,"
Country:
Sweden
","
Language:
Swedish
","
Release Date: 15 September 1974 (USA)
    
See more »
    
"
